t,ID,TICKET,ROLLER_1,ROLLER_2,ROLLER_3,ROLLER_4,ROLLER_5,ROLLER_6,ROLLER_7,ROLLER_8,ROLLER_9,ROLLER_10,PRIORITY_1,PRIORITY_2,PRIORITY_3,PRIORITY_4,PRIORITY_5,PRIORITY_6,PRIORITY_7,PRIORITY_8,PRIORITY_9,PRIORITY_10
0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1
10,2,0,1,2,2,2,2,5,2,3,0,0,1,1,0,0,1,1,1,0,0,1
20,3,1,4,2,3,4,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1
30,4,0,1,4,1,4,1,1,4,2,0,0,1,0,1,0,1,0,1,1,0,1
40,5,1,1,5,3,1,2,5,3,3,1,0,1,1,1,1,0,1,0,1,1,1
50,6,1,2,2,4,5,3,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1
60,7,1,2,4,5,2,5,1,5,0,0,0,1,1,1,1,1,1,1,1,0,0
70,8,1,4,4,2,5,3,2,3,0,0,0,1,0,0,0,0,0,0,1,1,0
80,9,0,2,2,4,4,5,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0
90,10,1,4,5,3,1,4,5,5,3,5,1,0,0,0,1,1,1,0,0,0,0
100,11,0,5,1,5,4,5,3,0,0,0,0,1,1,0,1,0,1,1,0,1,1
110,12,0,1,3,2,3,5,4,1,3,5,0,1,1,0,0,1,0,1,0,0,1
120,13,0,1,5,4,4,4,3,1,2,0,0,1,0,0,1,1,0,1,1,1,0
130,14,1,4,4,2,2,3,2,2,3,2,4,1,1,0,1,1,0,1,0,1,0
140,15,0,2,5,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0
150,16,0,3,5,2,3,4,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1
160,17,1,4,4,2,2,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1
170,18,1,3,2,2,3,4,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
180,19,1,5,1,1,4,4,3,4,5,5,1,1,0,1,0,1,1,0,1,1,1
190,20,1,2,3,4,3,2,4,5,3,1,5,0,1,0,0,1,0,1,0,1,0
200,21,0,2,1,2,2,2,3,3,4,3,5,0,1,1,1,0,0,1,1,0,1
210,22,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0
220,23,0,3,4,5,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
230,24,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0
240,25,0,5,3,5,4,4,1,1,5,0,0,0,1,1,1,1,1,1,1,0,0
250,26,0,5,2,5,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
260,27,1,4,2,2,3,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,0
270,28,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
