t,ID,TICKET,ROLLER_1,ROLLER_2,ROLLER_3,ROLLER_4,ROLLER_5,ROLLER_6,ROLLER_7,ROLLER_8,ROLLER_9,ROLLER_10,PRIORITY_1,PRIORITY_2,PRIORITY_3,PRIORITY_4,PRIORITY_5,PRIORITY_6,PRIORITY_7,PRIORITY_8,PRIORITY_9,PRIORITY_10
10,1,1,1,5,4,1,2,3,5,0,0,0,1,0,1,1,0,1,0,0,0,0
20,2,0,4,5,4,1,5,5,4,0,0,0,1,1,0,1,0,1,0,0,0,0
30,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
40,4,1,1,3,3,4,4,4,0,0,0,0,0,1,1,0,0,0,1,0,0,0
50,5,0,2,4,2,3,4,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0
60,6,0,2,5,2,1,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0
70,7,1,2,3,1,1,3,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0
80,8,1,3,1,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
90,9,1,5,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
100,10,1,1,2,2,5,3,5,1,0,0,0,0,0,0,1,1,1,0,0,0,0
110,11,1,2,3,3,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
120,12,0,2,5,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
130,13,1,1,2,2,5,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
140,14,0,1,4,1,2,4,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0
150,15,1,5,4,4,2,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0
160,16,1,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
170,17,0,3,1,5,5,3,1,2,0,0,0,0,1,0,1,1,0,0,0,0,0
180,18,0,3,3,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
190,19,0,5,3,3,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
200,20,1,4,1,2,2,4,1,4,0,0,0,0,1,0,1,1,1,1,0,0,0
210,21,0,1,1,4,3,3,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
220,22,0,1,3,1,5,4,3,3,0,0,0,0,1,0,0,1,0,1,0,0,0
230,23,1,1,4,3,5,4,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
240,24,1,1,2,3,3,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
250,25,0,2,5,5,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0
260,26,0,4,3,4,4,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0
270,27,0,3,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
280,28,1,2,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
290,29,0,1,5,5,5,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
300,30,0,3,4,4,4,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
310,31,1,2,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
320,32,0,3,5,4,5,2,4,2,0,0,0,1,1,0,0,0,1,1,0,0,0
330,33,0,4,1,4,2,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
340,34,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
350,35,0,1,2,1,3,4,3,0,0,0,0,0,1,1,1,1,1,0,0,0,0
360,36,1,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
370,37,1,2,4,3,3,5,2,0,0,0,0,0,0,1,1,0,1,1,0,0,0
380,38,1,4,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
390,39,1,5,5,1,1,4,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0
400,40,1,1,3,2,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
410,41,0,4,3,1,2,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
420,42,0,4,2,2,4,5,2,0,0,0,0,1,0,1,1,0,1,1,0,0,0
430,43,1,3,1,1,3,4,5,4,0,0,0,0,1,0,0,0,1,0,0,0,0
440,44,0,1,1,5,3,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0
450,45,1,5,3,3,5,2,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
460,46,1,4,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
470,47,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
480,48,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
490,49,1,3,3,3,1,3,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
500,50,0,1,1,1,1,4,3,1,0,0,0,1,1,1,0,1,1,1,0,0,0
510,51,1,3,1,2,1,1,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0
520,52,1,2,3,1,1,4,2,0,0,0,0,1,0,1,1,1,1,0,0,0,0
530,53,0,4,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
540,54,1,5,1,4,4,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
550,55,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
560,56,1,2,1,2,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0
570,57,1,1,5,2,2,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0
580,58,1,2,4,3,2,1,4,0,0,0,0,0,1,1,0,0,1,0,0,0,0
590,59,1,4,1,1,1,4,5,0,0,0,0,1,0,1,0,0,1,0,0,0,0
600,60,1,3,4,2,4,5,5,0,0,0,0,0,0,0,1,1,1,0,0,0,0
610,61,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
620,62,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
630,63,0,5,3,4,4,3,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
640,64,1,2,1,4,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
